Genome,Genome ID,Accession,PATRIC ID,RefSeq Locus Tag,Alt Locus Tag,Feature ID,Annotation,Feature Type,Start,End,Length,Strand,FIGfam ID,PATRIC genus-specific families (PLfams),PATRIC cross-genus families (PGfams),Protein ID,AA Length,Gene Symbol,Product,GO
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.3530",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.3773154.3773513.fwd","PATRIC","CDS",3773154,3773513,360,"+",,"PLF_286_00368377","PGF_08225224",,119,,"Response regulator",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.3531",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.3773599.3774891.fwd","PATRIC","CDS",3773599,3774891,1293,"+",,"PLF_286_00105285","PGF_03101572",,430,,"sugar transferase",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.3532",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.3775247.3776095.fwd","PATRIC","CDS",3775247,3776095,849,"+",,"PLF_286_00006918","PGF_00004652",,282,,"Ferrous iron transport permease EfeU",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.3533",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.3776104.3777303.fwd","PATRIC","CDS",3776104,3777303,1200,"+",,"PLF_286_00006966","PGF_04044064",,399,,"Ferrous iron transport periplasmic protein EfeO, contains peptidase-M75 domain and (frequently) cupredoxin-like domain",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.3534",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.3777322.3778635.fwd","PATRIC","CDS",3777322,3778635,1314,"+",,"PLF_286_00006919","PGF_07652575",,437,,"Ferrous iron transport peroxidase EfeB",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.338",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.377785.379329.fwd","PATRIC","CDS",377785,379329,1545,"+",,"PLF_286_00009568","PGF_08094426",,514,,"Inner-membrane proton/drug antiporter (MSF type) of tripartite multidrug efflux system",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.3535",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.3778670.3779494.fwd","PATRIC","CDS",3778670,3779494,825,"+",,"PLF_286_00006930","PGF_04044064",,274,,"Ferrous iron transport periplasmic protein EfeO, contains peptidase-M75 domain and (frequently) cupredoxin-like domain",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.3536",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.3779634.3780818.fwd","PATRIC","CDS",3779634,3780818,1185,"+",,"PLF_286_00011024","PGF_09996723",,394,,"Uncharacterized MFS-type transporter",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.3537",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.3780990.3782333.rev","PATRIC","CDS",3780990,3782333,1344,"-",,"PLF_286_00006754","PGF_00414976",,447,,"CDP-diacylglycerol--serine O-phosphatidyltransferase (EC 2.7.8.8)","GO:0003882|CDP-diacylglycerol-serine O-phosphatidyltransferase activity"
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.3538",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.3782515.3783078.fwd","PATRIC","CDS",3782515,3783078,564,"+",,"PLF_286_00008986","PGF_07182652",,187,,"Transcriptional regulator, AcrR family",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.3539",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.3783137.3783616.fwd","PATRIC","CDS",3783137,3783616,480,"+",,"PLF_286_00001129","PGF_00415849",,159,,"COGs COG3558",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.3540",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.3783767.3784852.rev","PATRIC","CDS",3783767,3784852,1086,"-",,"PLF_286_00001374","PGF_00560328",,361,,"Coenzyme F420-dependent N5,N10-methylene tetrahydromethanopterin reductase and related flavin-dependent oxidoreductases; sulfonate monooxygenase",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.3541",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.3784868.3785050.fwd","PATRIC","CDS",3784868,3785050,183,"+",,"PLF_286_00413871","PGF_11810066",,60,,"hypothetical protein",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.3542",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.3785254.3786489.fwd","PATRIC","CDS",3785254,3786489,1236,"+",,"PLF_286_00102096","PGF_03415168",,411,,"Acyl-CoA dehydrogenase; probable dibenzothiophene desulfurization enzyme",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.3543",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.3786619.3787398.fwd","PATRIC","CDS",3786619,3787398,780,"+",,"PLF_286_00000350","PGF_00001730",,259,,"FIG011065: hypothetical protein",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.3544",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.3787366.3788196.rev","PATRIC","CDS",3787366,3788196,831,"-",,"PLF_286_00092831","PGF_00024615",,276,,"NADH pyrophosphatase (EC 3.6.1.22), decaps 5'-NAD modified RNA","GO:0000210|NAD+ diphosphatase activity"
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.3545",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.3788203.3789015.rev","PATRIC","CDS",3788203,3789015,813,"-",,"PLF_286_00010766","PGF_03516774",,270,,"Enoyl-CoA hydratase/isomerase family protein",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.3546",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.3789143.3789919.rev","PATRIC","CDS",3789143,3789919,777,"-",,"PLF_286_00016549","PGF_06788576",,258,,"SAM-dependent methyltransferase",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.3547",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.3790021.3791319.rev","PATRIC","CDS",3790021,3791319,1299,"-",,"PLF_286_00008826","PGF_10428161",,432,,"Sensory histidine kinase ParS",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.3548",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.3791324.3792025.rev","PATRIC","CDS",3791324,3792025,702,"-",,"PLF_286_00044085","PGF_12894146",,233,,"Two-component transcriptional response regulator ParR",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.3549",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.3792221.3793375.fwd","PATRIC","CDS",3792221,3793375,1155,"+",,"PLF_286_00008667","PGF_10509026",,384,,"RND efflux system, membrane fusion protein",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.3550",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.3793386.3796481.fwd","PATRIC","CDS",3793386,3796481,3096,"+",,"PLF_286_00100156","PGF_05237064",,1031,,"RND efflux system, inner membrane transporter",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.339",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.379356.380426.fwd","PATRIC","CDS",379356,380426,1071,"+",,"PLF_286_00353379","PGF_09484084",,356,,"Membrane fusion component of MSF-type tripartite multidrug efflux system",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.3551",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.3796556.3796675.rev","PATRIC","CDS",3796556,3796675,120,"-",,"PLF_286_00389708","PGF_08225224",,39,,"hypothetical protein",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.3552",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.3796789.3796914.rev","PATRIC","CDS",3796789,3796914,126,"-",,,,,41,,"hypothetical protein",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.3553",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.3797097.3797276.rev","PATRIC","CDS",3797097,3797276,180,"-",,"PLF_286_00006483","PGF_08225224",,59,,"hypothetical protein",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.3554",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.3797432.3798607.rev","PATRIC","CDS",3797432,3798607,1176,"-",,"PLF_286_00008385","PGF_06229375",,391,,"3-carboxymuconate cyclase",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.3555",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.3798594.3798887.rev","PATRIC","CDS",3798594,3798887,294,"-",,"PLF_286_00002255","PGF_08225224",,97,,"hypothetical protein",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.3556",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.3799070.3801445.rev","PATRIC","CDS",3799070,3801445,2376,"-",,"PLF_286_00012655","PGF_02937243",,791,,"Exporter protein, RND family",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.3557",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.3801478.3802533.rev","PATRIC","CDS",3801478,3802533,1056,"-",,"PLF_286_00008388","PGF_08229426",,351,,"BNR/Asp-box repeat protein",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.3558",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.3802950.3805607.rev","PATRIC","CDS",3802950,3805607,2658,"-",,"PLF_286_00000262","PGF_00019484",,885,,"Membrane alanine aminopeptidase N (EC 3.4.11.2)",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.340",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.380423.381904.fwd","PATRIC","CDS",380423,381904,1482,"+",,"PLF_286_00010310","PGF_06982509",,493,,"Efflux transport system, outer membrane factor (OMF) lipoprotein",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.3559",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.3805620.3806450.rev","PATRIC","CDS",3805620,3806450,831,"-",,"PLF_286_00005949","PGF_08225224",,276,,"hypothetical protein",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.3560",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.3806447.3806707.rev","PATRIC","CDS",3806447,3806707,261,"-",,"PLF_286_00006037","PGF_08225224",,86,,"hypothetical protein",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.3561",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.3806723.3807592.rev","PATRIC","CDS",3806723,3807592,870,"-",,"PLF_286_00007766","PGF_00048419",,289,,"Rhomboid protease GlpG (EC 3.4.21.105)",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.3562",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.3807589.3808560.rev","PATRIC","CDS",3807589,3808560,972,"-",,"PLF_286_00005899","PGF_03050893",,323,,"Diadenosine tetraphosphatase and related serine/threonine protein phosphatases",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.3563",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.3808560.3809450.rev","PATRIC","CDS",3808560,3809450,891,"-",,"PLF_286_00000797","PGF_08421732",,296,,"NAD kinase (EC 2.7.1.23)","GO:0003951|NAD+ kinase activity"
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.3564",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.3809613.3810569.fwd","PATRIC","CDS",3809613,3810569,957,"+",,"PLF_286_00063054","PGF_08225224",,318,,"hypothetical protein",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.3565",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.3810586.3811869.rev","PATRIC","CDS",3810586,3811869,1284,"-",,"PLF_286_00000818","PGF_10506796",,427,,"Arsenite/antimonite:H+ antiporter ArsB",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.3566",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.3811987.3812544.rev","PATRIC","CDS",3811987,3812544,558,"-",,"PLF_286_00027772","PGF_05514477",,185,,"Chromate reductase (EC 1.6.5.2)","GO:0003955|NAD(P)H dehydrogenase (quinone) activity"
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.3567",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.3812761.3812997.fwd","PATRIC","CDS",3812761,3812997,237,"+",,"PLF_286_00101603","PGF_00088552",,78,,"hypothetical protein",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.3568",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.3813116.3814009.fwd","PATRIC","CDS",3813116,3814009,894,"+",,"PLF_286_00008569","PGF_00946168",,297,,"Transcriptional regulator, LysR family",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.3569",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.3814006.3814593.rev","PATRIC","CDS",3814006,3814593,588,"-",,"PLF_286_00008625","PGF_00054272",,195,,"Streptothricin acetyltransferase, Streptomyces lavendulae type",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.3570",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.3814607.3816862.rev","PATRIC","CDS",3814607,3816862,2256,"-",,"PLF_286_00003463","PGF_00017965",,751,,"Lysine decarboxylase, inducible (EC 4.1.1.18)","GO:0008923|lysine decarboxylase activity"
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.3571",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.3817074.3817817.rev","PATRIC","CDS",3817074,3817817,744,"-",,"PLF_286_00001005","PGF_10506571",,247,,"DNA polymerase III epsilon subunit (EC 2.7.7.7)","GO:0003887|DNA-directed DNA polymerase activity"
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.3572",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.3817941.3818390.rev","PATRIC","CDS",3817941,3818390,450,"-",,"PLF_286_00000804","PGF_09258168",,149,,"Ribonuclease HI (EC 3.1.26.4)","GO:0004523|RNA-DNA hybrid ribonuclease activity"
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.3573",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.3818497.3819255.rev","PATRIC","CDS",3818497,3819255,759,"-",,"PLF_286_00001006","PGF_00426342",,252,,"FIG005121: SAM-dependent methyltransferase (EC 2.1.1.-)","GO:0000179|rRNA (adenine-N6,N6-)-dimethyltransferase activity;GO:0000179|protein C-terminal carboxyl O-methyltransferase activity;GO:0000179|tRNA (guanine-N2-)-methyltransferase activity;GO:0000179|C-methyltransferase activity;GO:0000179|N-methyltransferase activity;GO:0000179|O-methyltransferase activity;GO:0000179|S-methyltransferase activity;GO:0000179|RNA methyltransferase activity;GO:0000179|mRNA methyltransferase activity;GO:0000179|tRNA methyltransferase activity;GO:0000179|protein methyltransferase activity;GO:0000179|2-polyprenyl-6-methoxy-1,4-benzoquinone methyltransferase activity;GO:0000179|rRNA methyltransferase activity;GO:0000179|rRNA (uridine-2'-O-)-methyltransferase activity;GO:0000179|rRNA (adenine-N6-)-methyltransferase activity;GO:0000179|DNA-methyltransferase activity;GO:0000179|tRNA (guanine-N1-)-methyltransferase activity;GO:0000179|rRNA (cytosine-C5-)-methyltransferase activity;GO:0000179|selenocysteine methyltransferase activity;GO:0000179|arginine N-methyltransferase activity;GO:0000179|protein-arginine N-methyltransferase activity;GO:0000179|lysine N-methyltransferase activity;GO:0000179|protein-lysine N-methyltransferase activity;GO:0000179|tRNA (uracil) methyltransferase activity;GO:0000179|tRNA (guanine) methyltransferase activity;GO:0000179|tRNA (adenine) methyltransferase activity;GO:0000179|tRNA (cytosine) methyltransferase activity;GO:0000179|tRNA (cytosine-5-)-methyltransferase activity;GO:0000179|tRNA (adenine-N1-)-methyltransferase activity;GO:0000179|rRNA (adenine) methyltransferase activity;GO:0000179|rRNA (cytosine) methyltransferase activity;GO:0000179|rRNA (guanine) methyltransferase activity;GO:0000179|rRNA (uridine) methyltransferase activity;GO:0000179|protein C-terminal leucine carboxyl O-methyltransferase activity;GO:0000179|1-phenanthrol methyltransferase activity;GO:0000179|protein-arginine N5-methyltransferase activity;GO:0000179|methylarsonite methyltransferase activity;GO:0000179|dimethylarsinite methyltransferase activity;GO:0000179|4,5-dihydroxybenzo(a)pyrene methyltransferase activity;GO:0000179|1-hydroxypyrene methyltransferase activity;GO:0000179|1-hydroxy-6-methoxypyrene methyltransferase activity;GO:0000179|demethylmenaquinone methyltransferase activity;GO:0000179|cobalt-precorrin-6B C5-methyltransferase activity;GO:0000179|cobalt-precorrin-7 C15-methyltransferase activity;GO:0000179|cobalt-precorrin-5B C1-methyltransferase activity;GO:0000179|cobalt-precorrin-3 C17-methyltransferase activity;GO:0000179|dimethylamine methyltransferase activity;GO:0000179|hydroxyneurosporene-O-methyltransferase activity;GO:0000179|tRNA (adenine-57, 58-N(1)-) methyltransferase activity;GO:0000179|methylamine-specific methylcobalamin:coenzyme M methyltransferase activity;GO:0000179|trimethylamine methyltransferase activity;GO:0000179|methanol-specific methylcobalamin:coenzyme M methyltransferase activity;GO:0000179|monomethylamine methyltransferase activity;GO:0000179|P-methyltransferase activity;GO:0000179|Se-methyltransferase activity;GO:0000179|2-phytyl-1,4-naphthoquinone methyltransferase activity;GO:0000179|tRNA (uracil-2'-O-)-methyltransferase activity;GO:0000179|tRNA (cytosine-2'-O-)-methyltransferase activity;GO:0000179|phosphomethylethanolamine N-methyltransferase activity;GO:0000179|tRNA (cytosine-3-)-methyltransferase activity;GO:0000179|rRNA (cytosine-2'-O-)-methyltransferase activity;GO:0000179|rRNA (cytosine-N4-)-methyltransferase activity;GO:0000179|trihydroxyferuloyl spermidine O-methyltransferase activity"
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.3574",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.3819321.3820088.fwd","PATRIC","CDS",3819321,3820088,768,"+",,"PLF_286_00001334","PGF_00906364",,255,,"Hydroxyacylglutathione hydrolase (EC 3.1.2.6)","GO:0004416|hydroxyacylglutathione hydrolase activity"
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.341",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.381976.382485.fwd","PATRIC","CDS",381976,382485,510,"+",,"PLF_286_00002125","PGF_06408249",,169,,"FIG006045: Sigma factor, ECF subfamily",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.3575",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.3820188.3821615.fwd","PATRIC","CDS",3820188,3821615,1428,"+",,"PLF_286_00005799","PGF_08109371",,475,,"Membrane-bound lytic murein transglycosylase D",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.3576",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.3821829.3823658.fwd","PATRIC","CDS",3821829,3823658,1830,"+",,"PLF_286_00006029","PGF_00002423",,609,,"ABC transporter periplasmic substrate-binding protein PA1811",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.3577",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.3823655.3825508.fwd","PATRIC","CDS",3823655,3825508,1854,"+",,"PLF_286_00006028","PGF_00002405",,617,,"ABC transporter periplasmic substrate-binding protein PA1810",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.342",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.382482.383429.fwd","PATRIC","CDS",382482,383429,948,"+",,"PLF_286_00371345","PGF_08225224",,315,,"Iron siderophore sensor protein",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.3578",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.3825510.3826583.fwd","PATRIC","CDS",3825510,3826583,1074,"+",,"PLF_286_00000515","PGF_00002621",,357,,"ABC transporter premease protein PA1809",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.3579",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.3826585.3827604.fwd","PATRIC","CDS",3826585,3827604,1020,"+",,"PLF_286_00000306","PGF_00002393",,339,,"ABC transporter, permease protein 2 PA1808",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.3580",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.3827606.3829216.fwd","PATRIC","CDS",3827606,3829216,1611,"+",,"PLF_286_00147863","PGF_06357394",,536,,"ABC transporter, ATP-binding protein (cluster 5, nickel/peptides/opines) / ABC transporter, ATP-binding protein (cluster 5, nickel/peptides/opines)",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.3581",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.3829234.3829761.fwd","PATRIC","CDS",3829234,3829761,528,"+",,"PLF_286_00154948","PGF_04012969",,175,,"hypothetical protein",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.3582",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.3829752.3830726.rev","PATRIC","CDS",3829752,3830726,975,"-",,"PLF_286_00013641","PGF_00050434",,324,,"Two-component system sensor histidine kinase",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.3583",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.3830817.3832892.rev","PATRIC","CDS",3830817,3832892,2076,"-",,"PLF_286_00103203","PGF_00003879",,691,,"EAL domain protein",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.3584",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.3833109.3833612.fwd","PATRIC","CDS",3833109,3833612,504,"+",,"PLF_286_00013597","PGF_01963798",,167,,"3-demethylubiquinone-9 3-methyltransferase",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.3585",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.3833660.3834496.fwd","PATRIC","CDS",3833660,3834496,837,"+",,"PLF_286_00007683","PGF_01671660",,278,,"Transcriptional regulator, AraC family",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.3586",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.3834489.3835073.rev","PATRIC","CDS",3834489,3835073,585,"-",,"PLF_286_00010683","PGF_03950680",,194,,"Transporter, LysE family",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.3587",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.3835167.3836732.rev","PATRIC","CDS",3835167,3836732,1566,"-",,"PLF_286_00047436","PGF_01776259",,521,,"Aerotaxis sensor receptor protein",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.343",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.383524.385989.fwd","PATRIC","CDS",383524,385989,2466,"+",,"PLF_286_00052081","PGF_10317782",,821,,"Ferrichrome-iron receptor",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.3588",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.3836757.3836870.fwd","PATRIC","CDS",3836757,3836870,114,"+",,"PLF_286_00423813","PGF_11967302",,37,,"hypothetical protein",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.3589",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.3837332.3838192.fwd","PATRIC","CDS",3837332,3838192,861,"+",,"PLF_286_00006545","PGF_05389143",,286,,"Dihydrodipicolinate synthase family protein PP2639",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.3590",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.3838238.3838894.rev","PATRIC","CDS",3838238,3838894,657,"-",,"PLF_286_00263354","PGF_00048496",,218,,"Ribonuclease T2 family protein",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.3591",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.3839269.3841839.rev","PATRIC","CDS",3839269,3841839,2571,"-",,"PLF_286_00171121","PGF_10538082",,856,,"Sensory box/GGDEF family protein",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.3592",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.3842060.3843016.rev","PATRIC","CDS",3842060,3843016,957,"-",,"PLF_286_00013003","PGF_00006737",,318,,"GDP-mannose pyrophosphatase NudK",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.3593",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.3843013.3843999.rev","PATRIC","CDS",3843013,3843999,987,"-",,"PLF_286_00035072","PGF_08225224",,328,,"hypothetical protein",
